UF,ANO,MES,TARIFA
DF,2023,1,693.34
DF,2023,2,688.34
DF,2023,3,749.28
DF,2023,4,701.92
DF,2023,8,765.54
DF,2023,9,812.68
DF,2023,10,870.29
DF,2023,11,797.01
DF,2023,12,744.53
DF,2024,1,741.43
DF,2024,2,647.26
DF,2024,3,739.97
DF,2024,4,682.53
DF,2024,5,685.23
DF,2024,6,711.57
DF,2024,7,721.07
DF,2024,8,697.2
DF,2024,9,713.82
DF,2024,10,766.22
DF,2024,11,766.49
DF,2024,12,785.86
DF,2025,3,827.11
DF,2025,4,798.9
DF,2025,5,744.98
DF,2025,6,901.99
DF,2025,7,986.98
PE,2023,1,850.37
PE,2023,2,826.88
PE,2023,3,850.67
PE,2023,4,806.74
PE,2023,8,850.88
PE,2023,9,893.28
PE,2023,10,903.41
PE,2023,11,855.89
PE,2023,12,805.32
PE,2024,1,812.22
PE,2024,2,768.77
PE,2024,3,799.02
PE,2024,4,767.2
PE,2024,5,733.72
PE,2024,6,806.18
PE,2024,7,780.04
PE,2024,8,764.12
PE,2024,9,859.89
PE,2024,10,897.53
PE,2024,11,945.64
PE,2024,12,925.51
PE,2025,3,869.27
PE,2025,4,794.48
PE,2025,5,725.3
PE,2025,6,864.86
PE,2025,7,993.17
RJ,2023,1,725.73
RJ,2023,2,702.86
RJ,2023,3,740.0
RJ,2023,4,691.62
RJ,2023,8,714.72
RJ,2023,9,762.56
RJ,2023,10,820.61
RJ,2023,11,800.02
RJ,2023,12,814.8
RJ,2024,1,800.22
RJ,2024,2,692.52
RJ,2024,3,704.35
RJ,2024,4,629.73
RJ,2024,5,615.52
RJ,2024,6,655.08
RJ,2024,7,668.32
RJ,2024,8,658.04
RJ,2024,9,708.74
RJ,2024,10,741.5
RJ,2024,11,770.37
RJ,2024,12,777.19
RJ,2025,3,761.95
RJ,2025,4,743.19
RJ,2025,5,705.79
RJ,2025,6,792.12
RJ,2025,7,889.4
SP,2023,1,758.75
SP,2023,2,712.41
SP,2023,3,762.23
SP,2023,4,710.76
SP,2023,8,774.24
SP,2023,9,788.27
SP,2023,10,828.54
SP,2023,11,776.97
SP,2023,12,785.78
SP,2024,1,768.72
SP,2024,2,684.57
SP,2024,3,738.26
SP,2024,4,666.28
SP,2024,5,632.08
SP,2024,6,671.56
SP,2024,7,689.19
SP,2024,8,682.86
SP,2024,9,717.16
SP,2024,10,770.65
SP,2024,11,774.01
SP,2024,12,763.98
SP,2025,3,823.42
SP,2025,4,793.95
SP,2025,5,714.92
SP,2025,6,813.68
SP,2025,7,950.69
